id,text,food_code,product_name,representative_ingredient,middle_category,serving_size,daily_intake_frequency,source_name,data_created_date,nutrient_count
hff_F101-027270000-0002,"제품명: BSN 신타 6 엣지 (딸기향) 1.82kg 분류: 단백질 영양성분 제공 단위량: 38000mg 복용/섭취 기준: 1회분량 1스쿱, 1회분량중량/부피 38000mg, 1일섭취횟수 1회 주요 영양성분: 에너지 156kcal, 단백질 24g, 지방 4g, 탄수화물 6g, 당류 2g, 나트륨 160mg, 포화지방산 1.5g 제조/수입 정보: 제조사 GLANBIA PERFORMANCE NUTRITION (MANUFACTURING) INC., 수입업체 주식회사 케이비엔, 원산지 미국 출처: 식품의약품안전처",F101-027270000-0002,BSN 신타 6 엣지 (딸기향) 1.82kg,단백질,단백질,1스쿱,1회,식품의약품안전처,2023-01-17,7
hff_F101-027270000-0001,"제품명: BSN 신타 6 엣지 (딸기향) 1.82kg 분류: 단백질 영양성분 제공 단위량: 38000mg 복용/섭취 기준: 1회분량 1스쿱, 1회분량중량/부피 38000mg, 1일섭취횟수 1회 주요 영양성분: 에너지 156kcal, 단백질 24g, 지방 4g, 탄수화물 6g, 당류 2g, 나트륨 160mg, 포화지방산 1.5g 제조/수입 정보: 제조사 GLANBIA PERFORMANCE NUTRITION (MANUFACTURING) INC., 수입업체 주식회사 케이비엔, 원산지 미국 출처: 식품의약품안전처",F101-027270000-0001,BSN 신타 6 엣지 (딸기향) 1.82kg,단백질,단백질,1스쿱,1회,식품의약품안전처,2022-12-20,7
hff_F101-027270000-0003,"제품명: BSN 신타 6 엣지 (초콜릿맛) 1.92kg 분류: 단백질 영양성분 제공 단위량: 40000mg 복용/섭취 기준: 1회분량 1스쿱, 1회분량중량/부피 40000mg, 1일섭취횟수 1회 주요 영양성분: 에너지 150kcal, 단백질 24g, 지방 3.5g, 탄수화물 6g, 당류 2g, 나트륨 190mg, 포화지방산 1g 제조/수입 정보: 제조사 GLANBIA PERFORMANCE NUTRITION (MANUFACTURING) INC., 수입업체 주식회사 케이비엔, 원산지 미국 출처: 식품의약품안전처",F101-027270000-0003,BSN 신타 6 엣지 (초콜릿맛) 1.92kg,단백질,단백질,1스쿱,1회,식품의약품안전처,2023-07-06,7
hff_F101-027270000-0004,"제품명: BSN 신타 6 오리지널 저먼 (초콜릿맛) 1.17kg 분류: 단백질 영양성분 제공 단위량: 47000mg 복용/섭취 기준: 1회분량 1스쿱, 1회분량중량/부피 47000mg, 1일섭취횟수 1회 주요 영양성분: 에너지 200kcal, 단백질 22g, 지방 6g, 탄수화물 14g, 당류 3g, 나트륨 240mg, 포화지방산 2g 제조/수입 정보: 제조사 GLANBIA PERFORMANCE NUTRITION (MANUFACTURING) INC., 수입업체 주식회사 케이비엔, 원산지 미국 출처: 식품의약품안전처",F101-027270000-0004,BSN 신타 6 오리지널 저먼 (초콜릿맛) 1.17kg,단백질,단백질,1스쿱,1회,식품의약품안전처,2024-01-11,7
hff_F103-001010000-0007,"제품명: CHASCO 프리미엄 오메가-3 분류: 복합제품(영양소, 기능성) 영양성분 제공 단위량: 1001.2mg 복용/섭취 기준: 1회분량 1캡슐, 1회분량중량/부피 1001.2mg, 1일섭취횟수 2회 주요 영양성분: 에너지 10kcal, 단백질 0g, 지방 1g, 탄수화물 0g, 나트륨 0mg, 비타민 D 25μg 제조/수입 정보: 제조사 NATURAL LIFE NUTRITION INC., 수입업체 케이피무역(KP무역), 원산지 캐나다 출처: 식품의약품안전처",F103-001010000-0007,CHASCO 프리미엄 오메가-3,"복합제품(영양소, 기능성)","복합제품(영양소, 기능성)",1캡슐,2회,식품의약품안전처,2025-03-26,6
hff_F102-054540000-0002,"제품명: DG MSM 분류: 엠에스엠 영양성분 제공 단위량: 2370mg 복용/섭취 기준: 1회분량 2캡슐, 1회분량중량/부피 2370mg, 1일섭취횟수 1회 주요 영양성분: 에너지 0kcal, 단백질 0g, 지방 0g, 탄수화물 0g, 나트륨 0mg 제조/수입 정보: 제조사 NUTRALAB CANADA CORP, 수입업체 (주)오전, 원산지 캐나다 출처: 식품의약품안전처",F102-054540000-0002,DG MSM,엠에스엠,엠에스엠,2캡슐,1회,식품의약품안전처,2024-11-15,5
hff_F103-001010000-0008,"제품명: EYE 100 루테인 골드플러스 분류: 복합제품(영양소, 기능성) 영양성분 제공 단위량: 500mg 복용/섭취 기준: 1회분량 1캡슐, 1회분량중량/부피 500mg, 1일섭취횟수 1회 주요 영양성분: 에너지 5kcal, 단백질 0g, 지방 0.5g, 탄수화물 0g, 나트륨 0mg, 베타카로틴 3000μg 제조/수입 정보: 제조사 NATURAL LIFE NUTRITION INC., 수입업체 (주)제이비파미스 (JB Pharmis Co., Ltd.), 원산지 캐나다 출처: 식품의약품안전처",F103-001010000-0008,EYE 100 루테인 골드플러스,"복합제품(영양소, 기능성)","복합제품(영양소, 기능성)",1캡슐,1회,식품의약품안전처,2023-04-11,6
hff_F103-001010000-0009,"제품명: EYE 100 루테인 골드플러스 분류: 복합제품(영양소, 기능성) 영양성분 제공 단위량: 600mg 복용/섭취 기준: 1회분량 1캡슐, 1회분량중량/부피 600mg, 1일섭취횟수 1회 주요 영양성분: 에너지 5kcal, 단백질 0g, 지방 0.5g, 탄수화물 0g, 나트륨 0mg, 비타민 C 50mg 제조/수입 정보: 제조사 PRIME HEALTH LTD., 수입업체 (주)제이비파미스 (JB Pharmis Co., Ltd.), 원산지 캐나다 출처: 식품의약품안전처",F103-001010000-0009,EYE 100 루테인 골드플러스,"복합제품(영양소, 기능성)","복합제품(영양소, 기능성)",1캡슐,1회,식품의약품안전처,2024-03-05,6
hff_F103-001010000-0010,"제품명: E플러스 프리미엄 초임계 알티지 오메가3 분류: 복합제품(영양소, 기능성) 영양성분 제공 단위량: 1302mg 복용/섭취 기준: 1회분량 1캡슐, 1회분량중량/부피 1302mg, 1일섭취횟수 1회 주요 영양성분: 에너지 10kcal, 단백질 0g, 지방 1g, 탄수화물 0g, 나트륨 0mg, 비타민 D 25μg 제조/수입 정보: 제조사 GMP NUTRITION ENTERPRISES INC., 수입업체 주식회사다온팜, 원산지 미국 출처: 식품의약품안전처",F103-001010000-0010,E플러스 프리미엄 초임계 알티지 오메가3,"복합제품(영양소, 기능성)","복합제품(영양소, 기능성)",1캡슐,1회,식품의약품안전처,2025-03-25,6
hff_F103-001010000-0011,"제품명: E플러스 프리미엄 초임계 알티지 오메가3 분류: 복합제품(영양소, 기능성) 영양성분 제공 단위량: 1302mg 복용/섭취 기준: 1회분량 1캡슐, 1회분량중량/부피 1302mg, 1일섭취횟수 1회 주요 영양성분: 에너지 10kcal, 단백질 0g, 지방 1g, 탄수화물 0g, 나트륨 0mg, 비타민 D 25μg 제조/수입 정보: 제조사 B&A HEALTH PRODUCTS CO., 수입업체 (주)가온뉴트리션, 원산지 미국 출처: 식품의약품안전처",F103-001010000-0011,E플러스 프리미엄 초임계 알티지 오메가3,"복합제품(영양소, 기능성)","복합제품(영양소, 기능성)",1캡슐,1회,식품의약품안전처,2022-10-21,6
hff_F103-001010000-0012,"제품명: E플러스 프리미엄 초임계 알티지 오메가3 분류: 복합제품(영양소, 기능성) 영양성분 제공 단위량: 1302mg 복용/섭취 기준: 1회분량 1캡슐, 1회분량중량/부피 1302mg, 1일섭취횟수 1회 주요 영양성분: 에너지 10kcal, 단백질 0g, 지방 1g, 탄수화물 0g, 나트륨 0mg, 비타민 D 25μg 제조/수입 정보: 제조사 LIFEBLOOM CORP., 수입업체 (주)가온뉴트리션, 원산지 미국 출처: 식품의약품안전처",F103-001010000-0012,E플러스 프리미엄 초임계 알티지 오메가3,"복합제품(영양소, 기능성)","복합제품(영양소, 기능성)",1캡슐,1회,식품의약품안전처,2022-02-04,6
hff_F103-001010000-0013,"제품명: IM 브레인 포스파티딜세린 분류: 복합제품(영양소, 기능성) 영양성분 제공 단위량: 1000mg 복용/섭취 기준: 1회분량 1캡슐, 1회분량중량/부피 1000mg, 1일섭취횟수 2회 주요 영양성분: 에너지 10kcal, 단백질 0g, 지방 1g, 탄수화물 0g, 나트륨 0mg 제조/수입 정보: 제조사 US PHARMATECH NV INC., 수입업체 (주)제이비파미스 (JB Pharmis Co., Ltd.), 원산지 미국 출처: 식품의약품안전처",F103-001010000-0013,IM 브레인 포스파티딜세린,"복합제품(영양소, 기능성)","복합제품(영양소, 기능성)",1캡슐,2회,식품의약품안전처,2024-06-18,5
hff_F103-002020000-0001,"제품명: K2 코랄칼슘 분류: 복합제품류 영양성분 제공 단위량: 1850mg 복용/섭취 기준: 1회분량 1정, 1회분량중량/부피 1850mg, 1일섭취횟수 1회 주요 영양성분: 에너지 0kcal, 단백질 0g, 지방 0g, 탄수화물 0g, 칼슘 400mg, 나트륨 0mg, 비타민 D 25μg 제조/수입 정보: 제조사 US PHARMATECH NV INC., 수입업체 이니시아, 원산지 미국 출처: 식품의약품안전처",F103-002020000-0001,K2 코랄칼슘,복합제품류,"복합제품(영양소, 기능성)",1정,1회,식품의약품안전처,2025-06-11,7
hff_F103-002020000-0002,"제품명: Knotted 멀티비타민 꾸미 분류: 복합제품류 영양성분 제공 단위량: 2500mg 복용/섭취 기준: 1회분량 1구미, 1회분량중량/부피 2500mg, 1일섭취횟수 2회 주요 영양성분: 에너지 8kcal, 단백질 0g, 지방 0g, 탄수화물 1.75g, 당류 1.5g, 나트륨 0mg, 비타민 A 750μg RAE, 비타민 C 20mg, 비타민 D 2μg 제조/수입 정보: 제조사 ACANDA BIOTECHNOLOGIES (CANADA) LIMITED, 수입업체 (주) 엔라이즈, 원산지 캐나다 출처: 식품의약품안전처",F103-002020000-0002,Knotted 멀티비타민 꾸미,복합제품류,"복합제품(영양소, 기능성)",1구미,2회,식품의약품안전처,2025-02-13,9
hff_F103-001010000-0014,"제품명: MK 프리미엄 크롬큐 분류: 복합제품(영양소, 기능성) 영양성분 제공 단위량: 1450mg 복용/섭취 기준: 1회분량 1정, 1회분량중량/부피 1450mg, 1일섭취횟수 1회 주요 영양성분: 에너지 5kcal, 단백질 0g, 지방 0g, 탄수화물 1g, 나트륨 0mg, 비타민 C 50mg 제조/수입 정보: 제조사 NATURAL LIFE NUTRITION INC., 수입업체 (주)알진인터내셔날, 원산지 캐나다 출처: 식품의약품안전처",F103-001010000-0014,MK 프리미엄 크롬큐,"복합제품(영양소, 기능성)","복합제품(영양소, 기능성)",1정,1회,식품의약품안전처,2023-03-06,6
hff_F103-001010000-0015,"제품명: MSM 관절쎈 블루 분류: 복합제품(영양소, 기능성) 영양성분 제공 단위량: 2030mg 복용/섭취 기준: 1회분량 1정, 1회분량중량/부피 2030mg, 1일섭취횟수 1회 주요 영양성분: 에너지 0kcal, 단백질 0g, 지방 0g, 탄수화물 0g, 나트륨 0mg, 비타민 D 10μg 제조/수입 정보: 제조사 LIFEBLOOM CORP., 수입업체 뉴트라칼 주식회사, 원산지 미국 출처: 식품의약품안전처",F103-001010000-0015,MSM 관절쎈 블루,"복합제품(영양소, 기능성)","복합제품(영양소, 기능성)",1정,1회,식품의약품안전처,2025-08-01,6
hff_F102-054540000-0003,"제품명: MSM 글루코사민 조인트 케어 분류: 엠에스엠 영양성분 제공 단위량: 1400mg 복용/섭취 기준: 1회분량 1정, 1회분량중량/부피 1400mg, 1일섭취횟수 2회 주요 영양성분: 에너지 0kcal, 단백질 0g, 지방 0g, 탄수화물 0g, 당류 0g, 나트륨 0mg, 비타민 D 12.5μg 제조/수입 정보: 제조사 US PHARMATECH INC, 수입업체 (주)아이비에스, 원산지 미국 출처: 식품의약품안전처",F102-054540000-0003,MSM 글루코사민 조인트 케어,엠에스엠,엠에스엠,1정,2회,식품의약품안전처,2023-09-01,7
hff_F103-001010000-0016,"제품명: MSM 조인트 볼란테 분류: 복합제품(영양소, 기능성) 영양성분 제공 단위량: 2100mg 복용/섭취 기준: 1회분량 1정, 1회분량중량/부피 2100mg, 1일섭취횟수 1회 주요 영양성분: 에너지 0kcal, 단백질 0g, 지방 0g, 탄수화물 0g, 나트륨 15mg, 비타민 D 15μg 제조/수입 정보: 제조사 PREMIUM NATURAL ONE PRODUCTS LTD., 수입업체 (주)제이비파미스 (JB Pharmis Co., Ltd.), 원산지 캐나다 출처: 식품의약품안전처",F103-001010000-0016,MSM 조인트 볼란테,"복합제품(영양소, 기능성)","복합제품(영양소, 기능성)",1정,1회,식품의약품안전처,2023-07-20,6
hff_F103-002020000-0003,"제품명: N.비오틴 3000 분류: 복합제품류 영양성분 제공 단위량: 350mg 복용/섭취 기준: 1회분량 1캡슐, 1회분량중량/부피 350mg, 1일섭취횟수 1회 주요 영양성분: 에너지 0kcal, 단백질 0g, 지방 0g, 탄수화물 0g, 나트륨 0mg, 티아민 1.2mg, 비타민 C 50mg 제조/수입 정보: 제조사 ONEWBIO, 수입업체 블랙오닉스, 원산지 미국 출처: 식품의약품안전처",F103-002020000-0003,N.비오틴 3000,복합제품류,"복합제품(영양소, 기능성)",1캡슐,1회,식품의약품안전처,2022-08-22,7
hff_F103-001010000-0017,"제품명: NEW 3-메가 EPA.DHA 분류: 복합제품(영양소, 기능성) 영양성분 제공 단위량: 2008mg 복용/섭취 기준: 1회분량 2캡슐, 1회분량중량/부피 2008mg, 1일섭취횟수 1회 주요 영양성분: 에너지 20kcal, 단백질 0g, 지방 2g, 탄수화물 0g, 나트륨 0mg 제조/수입 정보: 제조사 NATURAL IMMIX HEALTH LIMITED, 수입업체 (주)강화홍삼공사, 원산지 캐나다 출처: 식품의약품안전처",F103-001010000-0017,NEW 3-메가 EPA.DHA,"복합제품(영양소, 기능성)","복합제품(영양소, 기능성)",2캡슐,1회,식품의약품안전처,2022-11-28,5
hff_F103-001010000-0018,"제품명: NEW 멜라브레인 큐 분류: 복합제품(영양소, 기능성) 영양성분 제공 단위량: 1200mg 복용/섭취 기준: 1회분량 1캡슐, 1회분량중량/부피 1200mg, 1일섭취횟수 2회 주요 영양성분: 에너지 10kcal, 단백질 0g, 지방 1g, 탄수화물 0g, 나트륨 0mg 제조/수입 정보: 제조사 PHIL INTER PHARMA USA, INC., 수입업체 (주)더블유에이치글로벌, 원산지 미국 출처: 식품의약품안전처",F103-001010000-0018,NEW 멜라브레인 큐,"복합제품(영양소, 기능성)","복합제품(영양소, 기능성)",1캡슐,2회,식품의약품안전처,2025-06-19,5
hff_F101-018180000-0001,"제품명: NZ 그린 아연 골드 45000 분류: 아연 영양성분 제공 단위량: 779mg 복용/섭취 기준: 1회분량 1캡슐, 1회분량중량/부피 779mg, 1일섭취횟수 1회 주요 영양성분: 에너지 5kcal, 단백질 0.5g, 지방 0.12g, 탄수화물 0.11g, 나트륨 0mg 제조/수입 정보: 제조사 PROUDEX AUSTRALIA PTY LTD., 수입업체 주식회사 리치네이션, 원산지 호주 출처: 식품의약품안전처",F101-018180000-0001,NZ 그린 아연 골드 45000,아연,아연,1캡슐,1회,식품의약품안전처,2022-07-13,5
hff_F103-001010000-0019,"제품명: PB 얼라이브 볼란테 분류: 복합제품(영양소, 기능성) 영양성분 제공 단위량: 500mg 복용/섭취 기준: 1회분량 1캡슐, 1회분량중량/부피 500mg, 1일섭취횟수 1회 주요 영양성분: 에너지 0kcal, 단백질 0g, 지방 0g, 탄수화물 0g, 나트륨 0mg 제조/수입 정보: 제조사 US PHARMATECH INC, 수입업체 (주)제이비파미스 (JB Pharmis Co., Ltd.), 원산지 미국 출처: 식품의약품안전처",F103-001010000-0019,PB 얼라이브 볼란테,"복합제품(영양소, 기능성)","복합제품(영양소, 기능성)",1캡슐,1회,식품의약품안전처,2023-06-19,5
hff_F103-001010000-0020,"제품명: PS 브레인 파워 분류: 복합제품(영양소, 기능성) 영양성분 제공 단위량: 1350mg 복용/섭취 기준: 1회분량 1캡슐, 1회분량중량/부피 1350mg, 1일섭취횟수 1회 주요 영양성분: 에너지 0kcal, 단백질 0g, 지방 0g, 탄수화물 0g, 나트륨 0mg 제조/수입 정보: 제조사 NUTRA BIO CANADA, 수입업체 네이쳐스바이젠(주), 원산지 캐나다 출처: 식품의약품안전처",F103-001010000-0020,PS 브레인 파워,"복합제품(영양소, 기능성)","복합제품(영양소, 기능성)",1캡슐,1회,식품의약품안전처,2025-06-11,5
